SMK Order,Item Name,SMK ID or Item ID,Quantity,Overrun%,Qty with OR%,Cylinder,Around,Repeat,Across,Width,Length,Bottom Gusset (BM),Lip,Zip Header,Web Width (W.W.),lbs/m,Net (ft),Net (lbs),Net (kg),Incl OR (ft),Incl OR (lbs),Incl OR (kg),Film grade,Mil
5185,Ocean Mist Romaine Hearts 3ct Domestic,15374,2000000,0.2,2400000,30.5,3,10.16666667,2,10,14,0,0.25,0,28.25,13.86648298,847222.2222,27732.96596,12579.59084,1016666.667,33279.55915,15095.509,"L/LDPE Bag Film - General, clear",1.45
5186,Ocean Mist Green Onions 5.5oz.,15416,250000,0.25,312500,28.75,5,5.75,1,5.5,15,0,0.25,0,30.25,8.397741651,119791.6667,2099.435413,952.2976561,149739.5833,2624.294266,1190.37207,"Bag Film - General, clear",1.45
5187,Trader Joe's 2lb Bartlett Organic,15293,160000,0.22,195200,33,4,8.25,1,8,15.75,0,2,0,33.5,10.85880531,110000,1737.40885,788.0834847,134200,2119.638797,961.4618513,"L/LDPE Bag Film - General, clear",1.18
5188,Trader Joe's 2lb D'Anjou Organic,15294,160000,0.22,195200,33,4,8.25,1,8,15.75,0,2,0,33.5,10.85880531,110000,1737.40885,788.0834847,134200,2119.638797,961.4618513,"L/LDPE Bag Film - General, clear",1.18
5189,Generic Apples No-Wt. (MPC),15343,240000,0.22,292800,24.25,2,12.125,1,12,19.875,0,2,0,41.75,21.91204259,242500,5258.890221,2385.416956,295850,6415.846069,2910.208686,L/LDPE Bag Film - General,1.3
5190,Fresh Express Romaine Hearts 3ct/18oz Mexico,15430,1200000,0.25,1500000,32,3,10.66666667,1,10.375,13.875,0,0,1.25,30.25,16.11560617,1066666.667,19338.7274,8771.989204,1333333.333,24173.40925,10964.98651,"L/LDPE Bag Film-Zip, clear",1.5
5191,Superfresh 5lb Apples USA,15369,300000,0.22,366000,36,3,12,1,11.75,19.875,0,2,0,41.75,21.68614524,300000,6505.843572,2951.031286,366000,7937.129158,3600.258168,"L/LDPE Bag Film - General, clear",1.3
5192,Pacific 6ct Romaine Hts USA (Pink),15191,150000,0.25,187500,26.5,2,13.25,1,13,20,0,0,1.375,42.75,32.06285586,165625,4809.428379,2181.542402,207031.25,6011.785473,2726.928002,"L/LDPE Bag Film - Zipper*, clear",1.7
5193,T&A Green Onions 5.5oz.,15419,228000,0.25,285000,24.25,4,6.0625,1,5.75,14.5,0,0,0,29,8.488267073,115187.5,1935.324893,877.8576125,143984.375,2419.156116,1097.322016,"L/LDPE Bag Film - General, clear",1.45
5195,Aldi's 2lb/0.91kg Honeycrisp (Chelan),15306,260000,0.22,317200,29.75,3,9.916666667,1,9.75,14.5,0,1.75,0,30.75,11.9810292,214861.1111,3115.067592,1412.985391,262130.5556,3800.382463,1723.842177,"L/LDPE Bag Film - General, clear",1.18
5196,Aldi's 2lb/0.91kg Honeycrisp (Chelan),15306,100000,0.25,125000,29.75,3,9.916666667,1,9.75,14.5,0,1.75,0,30.75,11.9810292,82638.88889,1198.10292,543.4559195,103298.6111,1497.62865,679.3198994,"L/LDPE Bag Film - General, clear",1.18
5197,Trader Joe's 2lb D'Anjou Organic,15294,160000,0.25,200000,33,4,8.25,1,8,15.75,0,2,0,33.5,10.85880531,110000,1737.40885,788.0834847,137500,2171.761063,985.1043558,"L/LDPE Bag Film - General, clear",1.18
5198,Ocean Mist Cauliflower Bilingual,15351,2000000,0.15,2300000,30.25,2,15.125,2,14.75,8.5,6,1.5,0,24.5,11.10465987,1260416.667,22209.31975,10074.08135,1449479.167,25540.71771,11585.19355,"L/LDPE Bag Film - LC, clear",0.9
5199,"Walmart 3lb Gala (10"" - NuPlastiq)",15353,400000,0.22,488000,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,338888.8889,5512.403023,2500.409609,413444.4444,6725.131688,3050.499723,Bag Film-General-BioResin,1.18
5200,"Walmart 3lb Fuji (10"" - NuPlastiq)",15354,240000,0.22,292800,30.5,3,10.16666667,1,10,16.25,0,2,0,34.5,13.78100756,203333.3333,3307.441814,1500.245765,248066.6667,4035.079013,1830.299834,Bag Film-General-BioResin,1.18
5201,"Walmart 3lb Pink Lady (10"" - NuPlastiq)",15358,160000,0.22,195200,30.5,2,15.25,1,10,16.25,0,2,0,34.5,20.67151134,203333.3333,3307.441814,1500.245765,248066.6667,4035.079013,1830.299834,Bag Film-General-BioResin,1.18
